RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RADIO,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
1470,2,1,,10,5/27/2025,5/27/2025,4,2,3,2,2,2,1,3,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,3,2,2,2,4,4,11,4,1,2,1,1,2,2,4,1,0.802200473,0.497038117
2374,2,1,,7,5/1/2025,5/1/2025,3,2,1,2,3,1,3,3,4,2,1,1,2,2,1,2,1,1,2,1,2,2,1,2,2,2,2,1,1,1,2,1,1,2,6,6,3,6,2,1,2,,2,2,2,2,10,4,1,1,4,1,2,5,4,1,0.53249448,0.307081481
1177,3,1,10,5,3/4/2025,3/4/2025,2,1,3,2,2,1,2,3,4,2,1,1,2,2,1,2,1,1,1,1,2,1,2,2,2,2,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1,,1,2,1,1,10,4,1,2,2,1,1,2,4,1,1.249641554,0.646850318
15459,2,1,,10,5/5/2025,5/5/2025,3,3,3,2,2,2,3,4,4,2,1,1,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,5,1,2,2,1,1,,1,2,1,1,6,2,1,1,2,1,1,1,2,2,1.604400946,1.311244775
9849,1,1,9,9,2/22/2025,2/22/2025,2,1,2,2,3,1,2,1,4,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,4,1,1,1,1,1,,1,2,1,1,10,4,1,1,4,1,1,8,1,1,0.676350894,0.241760654
8178,3,1,9,10,3/10/2025,3/10/2025,2,2,1,1,2,1,2,1,4,1,2,2,6,4,,,,,,,,,,,,,,2,1,1,1,2,2,2,4,6,4,6,1,1,1,,1,2,1,1,13,4,1,1,2,1,99,99,2,1,1.604400946,0.694078742
3682,1,1,9,4,2/27/2025,2/27/2025,3,2,1,2,3,2,1,2,2,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,1,2,2,2,4,6,1,2,1,1,3,2,2,2,2,2,7,3,1,1,3,1,2,6,3,1,1.261163338,1.122298096
6999,2,1,,10,5/12/2025,5/12/2025,3,3,3,2,3,1,3,2,4,1,1,1,3,3,1,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,6,2,2,2,1,3,1,1,2,1,1,13,4,1,2,2,1,1,5,4,2,1.604400946,0.856141419
9945,2,1,,10,5/9/2025,5/9/2025,3,2,3,2,3,1,2,3,4,2,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,2,1,1,9,3,1,2,2,1,1,4,3,1,1.604400946,1.009920375
1901,1,1,9,10,3/1/2025,3/1/2025,1,1,2,2,2,2,2,2,4,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,5,3,2,2,2,1,2,,2,1,1,3,6,2,1,2,3,1,2,7,4,1,1.20330071,0.688520503
18470,2,1,,10,5/8/2025,5/8/2025,2,3,3,2,3,2,3,2,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,1,1,1,3,5,1,2,1,1,1,,1,2,1,1,8,3,1,2,3,1,3,4,3,1,2.406601419,0.472815612
18634,2,1,,10,5/2/2025,5/2/2025,2,3,1,1,2,2,3,2,4,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,4,3,1,3,1,1,1,,1,2,1,1,11,4,1,2,1,1,1,4,3,1,0.802200473,0.616164299
16757,2,1,,9,5/12/2025,5/12/2025,4,3,1,2,2,2,2,4,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,12,3,2,6,6,4,7,2,1,2,,2,1,5,3,7,3,1,1,99,1,2,3,4,1,0.901801192,0.559988047
9783,1,1,9,10,2/26/2025,2/26/2025,4,2,3,2,2,2,3,3,4,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,1,1,1,2,3,1,1,1,1,1,,1,2,1,1,7,3,1,2,3,1,1,5,3,1,1.20330071,0.763863178
